Date,Open,High,Low,Close,Volume
2025-06-16,128.6,129.3,128.42,129.2,209877
2025-06-17,128.6,129.1,128.18,128.86,90850
2025-06-18,128.78,129.2,128.52,128.76,98527
2025-06-19,128.44,128.48,127.52,127.62,93197
2025-06-20,128.04,128.88,127.7,128.04,85249
2025-06-23,127.6,128.5,127.56,127.76,71936
2025-06-24,129.34,129.4,128.8,129.16,50356
2025-06-25,129.6,129.74,129.06,129.08,82258
2025-06-26,128.98,129.34,128.64,129.16,69409
2025-06-27,129.68,130.1,129.36,130.1,82354
2025-06-30,130.16,130.26,129.64,129.78,133291
2025-07-01,129.88,129.88,129.06,129.58,254464
2025-07-02,130.1,130.2,129.46,129.92,73761
2025-07-03,130.2,131.26,130.0,131.22,74818
2025-07-04,130.52,130.54,130.04,130.28,54122
2025-07-07,130.48,131.12,130.4,130.7,166255
2025-07-08,130.5,131.06,130.4,130.74,132730
2025-07-09,130.62,131.56,130.5,131.1,130731
2025-07-10,131.1,132.0,131.02,132.0,106230
2025-07-11,131.76,131.76,130.92,131.28,99869
2025-07-14,131.0,131.48,130.8,131.44,76771
2025-07-15,132.1,132.4,131.92,132.24,148612
2025-07-16,131.48,132.44,130.4,130.4,155126
2025-07-17,132.6,133.06,132.36,133.04,133168
2025-07-18,133.14,133.14,132.48,132.58,116976
2025-07-21,132.9,133.04,132.54,132.74,105965
2025-07-22,132.32,132.54,131.76,131.88,107012
2025-07-23,132.76,133.24,132.64,133.06,129266
2025-07-24,133.4,133.6,132.96,133.26,72137
2025-07-25,133.16,133.5,132.98,133.4,79198
2025-07-28,134.32,134.62,134.18,134.54,188900
2025-07-29,135.34,135.78,135.04,135.08,147805
2025-07-30,135.06,135.96,134.9,135.7,102894
2025-07-31,136.56,137.0,135.54,135.9,114760
2025-08-01,134.7,134.72,131.32,132.04,335328
2025-08-04,132.54,133.6,132.52,133.44,129332
2025-08-05,134.38,134.54,133.22,133.22,110453
2025-08-06,133.96,134.08,132.92,133.46,132366
2025-08-07,133.72,134.7,133.66,133.9,118149
2025-08-08,134.08,134.56,133.98,134.2,89140
2025-08-11,134.82,135.16,134.5,135.04,123018
2025-08-12,134.98,135.34,134.52,135.02,118612
2025-08-13,135.44,135.9,135.3,135.3,81941
2025-08-14,135.68,136.1,135.34,135.92,143871
2025-08-15,136.42,136.42,135.4,135.48,132160
2025-08-18,135.68,135.96,135.44,135.8,197849
2025-08-19,135.8,136.18,135.54,135.82,88154
2025-08-20,135.52,135.66,134.42,135.08,173081
2025-08-21,135.58,135.64,134.8,135.54,77880
2025-08-22,135.5,136.56,135.44,136.4,100381
2025-08-25,136.06,136.34,135.94,136.24,162894
2025-08-26,136.16,136.22,135.78,135.98,240042
2025-08-27,136.74,137.02,136.58,136.82,77696
2025-08-28,136.82,137.04,136.22,136.54,171184
2025-08-29,136.64,136.66,135.36,135.48,131265
2025-09-01,135.58,135.88,135.48,135.88,218573
2025-09-02,135.7,135.8,134.4,134.4,161212
2025-09-03,135.56,135.86,135.28,135.3,136642
2025-09-04,135.86,136.4,135.78,136.28,83943
2025-09-05,136.96,136.96,135.06,135.56,137958
2025-09-08,136.36,136.5,136.0,136.44,123630
2025-09-09,136.36,136.7,136.28,136.58,138873
2025-09-10,137.64,137.88,137.3,137.38,97248
2025-09-11,137.84,138.3,137.48,138.3,88434
2025-09-12,138.2,138.6,138.0,138.34,73026
2025-09-15,138.52,138.76,138.22,138.58,182040
2025-09-16,138.52,138.66,137.44,137.54,94838
2025-09-17,137.68,137.9,137.44,137.64,102476
2025-09-18,138.4,139.2,138.16,138.96,83633
2025-09-19,138.76,139.38,138.56,139.04,108562
